Unnamed: 0.1,brand,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,Ram_numeric,ROM_numeric,display_size_numeric,price_category,processor_gen,brand_encoded,processor_encoded,CPU_encoded,Ram_type_encoded,ROM_type_encoded,GPU_encoded,OS_encoded,aspect_ratio,screen_area,ram_rom_ratio,performance_score,is_gaming
706,Dell,86990,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,16.0,1.0,14.0,Premium,13.0,6,58,1,8,1,123,12,1.6,98.0,16.0,28.0,0
707,Dell,58490,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,14.0,Mid-range,13.0,6,58,1,2,1,123,12,1.7777777777777777,98.0,0.015625,26.5,0
708,Hp,69199,71.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,5.0,10,105,19,2,1,33,12,1.7777777777777777,121.67999999999999,0.03125,28.1,1
709,Msi,45990,65.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,2,8.0,512.0,15.6,Mid-range,11.0,17,19,19,2,1,27,12,1.7777777777777777,121.67999999999999,0.015625,26.3,1
710,Msi,94990,77.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,2,16.0,512.0,15.6,Premium,12.0,17,48,2,2,1,63,12,1.7777777777777777,121.67999999999999,0.03125,32.7,1
711,Msi,97990,77.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",8GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,17.3,1920.0,1080.0,Windows 11 OS,2,8.0,1.0,17.3,Premium,12.0,17,48,2,4,1,63,12,1.7777777777777777,149.645,8.0,30.299999999999997,1
712,Msi,179990,83.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,17.3,1920.0,1080.0,Windows 11 OS,2,16.0,1.0,17.3,High-end,13.0,17,75,8,4,1,64,12,1.7777777777777777,149.645,16.0,34.9,1
713,Msi,125990,76.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",8GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,17.3,2560.0,1440.0,Windows 11 OS,2,8.0,1.0,17.3,High-end,13.0,17,73,8,4,1,63,12,1.7777777777777777,149.645,8.0,30.4,1
714,Hp,116463,71.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,High-end,13.0,10,63,6,2,1,53,12,1.7777777777777777,121.67999999999999,0.03125,31.3,1
715,Hp,109990,72.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,High-end,13.0,10,73,8,2,1,53,12,1.7777777777777777,121.67999999999999,0.03125,31.599999999999998,1
716,Hp,153625,75.0,13th Gen Intel Core i5 13500HX,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,16.1,High-end,13.0,10,65,8,4,1,53,12,1.7777777777777777,129.60500000000002,0.03125,32.5,1
717,Hp,270129,86.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",32GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,16.1,2560.0,1600.0,Windows 11 OS,1,32.0,1.0,16.1,High-end,13.0,10,76,14,4,1,64,12,1.6,129.60500000000002,32.0,40.6,1
718,Gigabyte,149990,83.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,15.6,2560.0,1440.0,Windows 11  OS,2,16.0,1.0,15.6,High-end,12.0,8,42,6,4,1,64,11,1.7777777777777777,121.67999999999999,16.0,34.5,1
719,Lenovo,58990,64.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Integrated SoC,14.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,14.0,Mid-range,7.0,14,131,19,2,1,71,12,1.6,98.0,0.03125,26.799999999999997,0
720,Hp,107190,67.0,12th Gen Intel Core i7 1250U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated Iris Xe,13.3,2880.0,1800.0,Windows 11 OS,1,16.0,512.0,13.3,High-end,12.0,10,44,1,6,1,111,12,1.6,88.44500000000001,0.03125,29.7,0
721,Chuwi,32999,69.32352941176471,10th Gen Intel Core i5 10210U,"Quad Core, 8 Threads",16GB,LPDDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Mid-range,10.0,5,3,28,5,1,126,12,1.7777777777777777,121.67999999999999,0.03125,29.597058823529412,0
723,Hp,102090,72.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,16.1,High-end,13.0,10,61,22,4,1,53,12,1.7777777777777777,129.60500000000002,0.03125,31.599999999999998,1
724,Hp,231746,71.0,13th Gen Intel Core i7 1365U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.5,1920.0,1280.0,Windows 11 OS,1,16.0,512.0,13.5,High-end,13.0,10,72,1,8,1,123,12,1.5,91.125,0.03125,31.3,0
725,Asus,81990,72.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,16.0,Premium,12.0,2,48,2,2,1,33,12,1.6,128.0,0.03125,31.2,1
726,Dell,36890,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,11.0,6,15,17,2,1,126,12,1.7777777777777777,121.67999999999999,0.015625,27.597058823529412,0
727,Lenovo,87990,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,12.0,14,40,22,4,1,53,12,1.7777777777777777,121.67999999999999,0.03125,30.900000000000002,1
728,Hp,77990,67.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,14.0,Premium,13.0,10,58,1,2,1,111,12,1.7777777777777777,98.0,0.03125,30.099999999999998,0
729,Gigabyte,117574,80.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,2,8.0,512.0,15.6,High-end,12.0,8,42,6,4,1,63,12,1.7777777777777777,121.67999999999999,0.015625,31.200000000000003,1
730,Lenovo,97990,73.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,7.0,14,139,24,4,1,53,12,1.7777777777777777,121.67999999999999,0.03125,29.5,1
731,Msi,284990,89.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32GB,DDR5,1TB,SSD,12GB NVIDIA GeForce RTX 4080,16.0,2560.0,1600.0,Windows 11 OS,2,32.0,1.0,16.0,High-end,13.0,17,79,14,4,1,3,12,1.6,128.0,32.0,41.5,1
732,Msi,344990,69.32352941176471,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32GB,DDR5,2TB,SSD,16GB NVIDIA GeForce RTX 4090,17.0,2560.0,1600.0,Windows 11 OS,2,32.0,2.0,17.0,High-end,13.0,17,79,14,4,1,7,12,1.6,144.5,16.0,35.59705882352941,1
733,Hp,146599,77.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16.1,1920.0,1080.0,Windows 11 OS,1,16.0,1.0,16.1,High-end,13.0,10,74,10,4,1,63,12,1.7777777777777777,129.60500000000002,16.0,33.099999999999994,1
734,Acer,44990,65.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,2GB NVIDIA GeForce MX450,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,11.0,0,23,28,2,1,12,12,1.7777777777777777,121.67999999999999,0.015625,26.3,1
735,Lenovo,57990,67.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,14.0,Mid-range,7.0,14,131,19,2,1,80,12,1.7777777777777777,98.0,0.03125,27.699999999999996,0
736,Hp,128599,73.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,16.0,High-end,7.0,10,139,24,4,1,63,12,1.7777777777777777,128.0,0.03125,29.5,1
737,Asus,21990,69.32352941176471,intel Celeron  N4020,"Dual Core, 2 Threads",4GB,DDR4,256GB,SSD,Integrated Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,4.0,256.0,15.6,Budget,,2,183,16,2,1,95,12,1.7777777777777777,121.67999999999999,0.015625,25.99705882352941,0
738,Hp,151990,77.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16.1,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,16.1,High-end,13.0,10,74,10,4,1,63,12,1.7777777777777777,129.60500000000002,0.03125,33.099999999999994,1
739,Infinix,52990,62.0,11th Gen Intel Core i7 1195G7,"Quad Core, 8 Threads",16GB,LPDDR4X,1TB,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,1.0,15.6,Mid-range,11.0,13,32,28,6,1,111,12,1.7777777777777777,121.67999999999999,16.0,27.799999999999997,0
